chrom_start_end	Annotation
chr22_28183800_28188000	13_ReprPC
chr17_6842800_6844200	1_TssA
chr4_122716400_122717400	7_Enh
chr3_33079800_33083200	5_TxWk
chr16_31472600_31478200	5_TxWk
chr7_103006400_103010000	4_Tx
chr1_165467200_165495800	14_ReprPCWk
chr1_27884400_27887400	6_EnhG
chr4_2789200_2789600	7_Enh
chr7_120698000_120699600	8_ZNF/Rpts
chr2_205411200_205425600	15_Quies
chr1_228092600_228093000	14_ReprPCWk
chr3_57769800_57770600	7_Enh
chr1_26161000_26161400	4_Tx
chr12_56652400_56653000	2_TssAFlnk
chr5_134379200_134379600	7_Enh
chr3_21573200_21573600	1_TssA
chr1_155656200_155656600	2_TssAFlnk
chr8_23351200_23351600	2_TssAFlnk
chr4_155346600_155361000	15_Quies
chr3_133563200_133567200	5_TxWk
chr3_105933000_105933200	7_Enh
chr3_171556200_171556600	7_Enh
chr12_110313000_110313200	14_ReprPCWk
chr9_134716400_134720800	13_ReprPC
chr18_9384600_9385000	5_TxWk
chr17_35084800_35085400	2_TssAFlnk
chr11_74114800_74115200	7_Enh
chr15_88152000_88152400	2_TssAFlnk
chr9_130132000_130133800	13_ReprPC
chr9_139801600_139803600	5_TxWk
chr9_13280200_13447800	15_Quies
chr1_92925200_92925400	7_Enh
chr15_67871600_67872000	7_Enh
chr12_68849800_68850200	7_Enh
chr17_25891600_25893000	5_TxWk
chr12_112001800_112002000	7_Enh
chr2_111453400_111457000	5_TxWk
chr3_46564200_46565200	5_TxWk
chr10_67187200_67188000	9_Het
chr17_38752000_38753400	9_Het
chr2_220060400_220060800	7_Enh
chr3_182981800_182982200	5_TxWk
chr15_40602400_40605600	5_TxWk
chr19_49360600_49360800	2_TssAFlnk
chr10_32546400_32552000	5_TxWk
chrX_134125000_134125800	1_TssA
chr19_42334600_42339800	15_Quies
chr3_186160600_186168600	15_Quies
chr3_5625600_5625800	7_Enh
chr10_127413800_127415400	5_TxWk
chrX_27808400_27808800	9_Het
chr21_28433000_28473000	15_Quies
chr12_92424800_92428600	5_TxWk
chr14_88527000_88527400	7_Enh
